bucket_id,name,owner,metadata,created_at,updated_at
catalog,products/V8uzUj3ApL6ZWDDT9PaRuO.Image.150522.jpg,null,"{""eTag"":""\""f207a3168bfb35f6ba1a842aee2f770d-1\"""",""size"":85048,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:13.000Z"",""contentLength"":85048,""httpStatusCode"":200}",2026-03-08 23:19:12.668006+00,2026-03-08 23:19:12.668006+00
catalog,products/tV4MVtSyZO4n2H6ltPI3ef.Image.203142.jpg,null,"{""eTag"":""\""c3b74e3b1b4128648f60adfd91f0cf94-1\"""",""size"":85001,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:13.000Z"",""contentLength"":85001,""httpStatusCode"":200}",2026-03-08 23:19:12.659535+00,2026-03-08 23:19:12.659535+00
catalog,products/Uq14ouDeDYlpZ8aV26fBYn.Image.030609.jpg,null,"{""eTag"":""\""35446af241893d055283f41cd03e4990-1\"""",""size"":29149,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:13.000Z"",""contentLength"":29149,""httpStatusCode"":200}",2026-03-08 23:19:12.614127+00,2026-03-08 23:19:12.614127+00
catalog,products/SV0BYZFU3G4Kuo8zf-bXGb.Image.204347.jpg,null,"{""eTag"":""\""85920daf712f2b3c27392e4fe8dbd8ab-1\"""",""size"":70839,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:12.000Z"",""contentLength"":70839,""httpStatusCode"":200}",2026-03-08 23:19:11.79782+00,2026-03-08 23:19:11.79782+00
catalog,products/svAyeYCSSFfC5m0wPlSuHD.Image.152904.jpg,null,"{""eTag"":""\""79dac16677ef50efbd9832da4a182f66-1\"""",""size"":133106,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:12.000Z"",""contentLength"":133106,""httpStatusCode"":200}",2026-03-08 23:19:11.777958+00,2026-03-08 23:19:11.777958+00
catalog,products/sHDFCK0177KWa7KFc9YYFi.Image.223935.jpg,null,"{""eTag"":""\""213962040a259b3df63922e9c066cf6b-1\"""",""size"":85636,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:12.000Z"",""contentLength"":85636,""httpStatusCode"":200}",2026-03-08 23:19:11.753342+00,2026-03-08 23:19:11.753342+00
catalog,products/TK5O52qucE4KuKSdcDkK01.Image.021926.jpg,null,"{""eTag"":""\""6d274eddc6c1a89fcccb960c1af3945e-1\"""",""size"":121781,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:12.000Z"",""contentLength"":121781,""httpStatusCode"":200}",2026-03-08 23:19:11.745149+00,2026-03-08 23:19:11.745149+00
catalog,products/sG2wvPhYyJ4h2V3OivnKEd.Image.233140.jpg,null,"{""eTag"":""\""2708e88a33c9d03da40fdf6759577793-1\"""",""size"":112031,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:12.000Z"",""contentLength"":112031,""httpStatusCode"":200}",2026-03-08 23:19:11.738944+00,2026-03-08 23:19:11.738944+00
catalog,products/tNsIyMm6XjhxOHbxyMN5tj.Image.112444.jpg,null,"{""eTag"":""\""0bd43e8c30ed6c4e9a7fffa8f0da21c1-1\"""",""size"":95758,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:12.000Z"",""contentLength"":95758,""httpStatusCode"":200}",2026-03-08 23:19:11.737647+00,2026-03-08 23:19:11.737647+00
catalog,products/SMy6VgCNjVlW37encYCDgU.Image.204016.jpg,null,"{""eTag"":""\""d902919b5798b7d5e5225863a1ad43e8-1\"""",""size"":83227,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:12.000Z"",""contentLength"":83227,""httpStatusCode"":200}",2026-03-08 23:19:11.722958+00,2026-03-08 23:19:11.722958+00
